方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,69,Head20,0.5632434687368182,-0.48694561074803727,0.07629785798878096,0.0010988702301220083,0.2432725518301595,0.6133493087909301
Full-CP μ1,69,Middle60,0.005369964375654696,0.05600832277127659,0.06137828714693128,0.0008031498387753263,0.699126096587861,0.3725454003215418
Full-CP μ1,69,Tail20,0.008087391809870795,-0.0018879853693457914,0.006199406440525007,-0.002394725380387778,0.05760128784459084,0.014105282643868122
Full-CP μ1,69,Many35,0.2535820723941712,-0.13939373414426356,0.11418833824990764,0.000998674478217257,0.4710589236783562,0.8134968126760214
Full-CP μ1,69,Medium35,0.09140150043992253,-0.060006351384434574,0.03139514905548798,0.0012967721294763516,0.3871849217248382,0.15838480547245126
Full-CP μ1,69,Few30,-0.010853665857340667,0.018761014581112304,0.007907348723771673,-0.0019356247982690704,0.14175609085941687,0.028118373607867397
Full-CP μ1,70,Head20,0.6334526875333938,-0.49869728908371147,0.13475539844968223,0.0010135301505273336,0.23650767114304472,0.6133493087909301
Full-CP μ1,70,Middle60,0.012290720437067358,0.04006415816284829,0.05235487859991566,0.0007258685379392264,0.6943472690327326,0.3725454003215418
Full-CP μ1,70,Tail20,0.009081124638517691,-0.0034787444747053056,0.005602380163812389,-0.0020773140719393267,0.06914508990303148,0.014105282643868122
Full-CP μ1,70,Many35,0.29323400766674185,-0.17163114287266426,0.12160286479407752,0.0009326974812095593,0.44807727534498554,0.8134968126760214
Full-CP μ1,70,Medium35,0.09979477573809578,-0.04529140710089836,0.054503368637197354,0.001057831062570975,0.3949027169874171,0.15838480547245126
Full-CP μ1,70,Few30,-0.005596264983568158,-0.0015793977440915188,-0.0071756627276596254,-0.0015797355061401663,0.15702003774640616,0.028118373607867397
Full-CP μ1,71,Head20,0.587018539689303,-0.46261624850256994,0.12440229118673285,0.0010296385606546337,0.23778808895440307,0.6133493087909301
