family,path,rows,columns,bytes
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/client_refresh.csv,810,method; round; client_id; variant; probe_protocol; client_mean_gap; nonzero_gap_classes; num_local_classes; maximum_sample_weight; server_weight; optimizer_steps; trainable_factor; trainable_params; start_a_sha256; start_b_sha256; sample_presentations; refresh_loss; refresh_seconds; delta_a_norm; delta_b_norm; effective_delta_norm; new_input_direction_norm; new_direction_fraction; a_drift_from_initial; mean_a_subspace_change; mean_a_subspace_from_initial,354889
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/gap_signal.csv,27,method; round; gap_weights_used_for_training; nonzero_gap_clients; mean_client_gap; max_client_gap; gap_weighted_tail_loss_mass; ordinary_CE_tail_loss_mass; gap_tail_to_CE_mass_ratio; gap_weight_mass_total; positive_gap_tail_class_rows; tail_class_rows; head_client_mean_gap; tail_client_mean_gap; head_client_mean_delta_a_norm; tail_client_mean_delta_a_norm; head_client_weighted_sum_delta_a_norm; tail_client_weighted_sum_delta_a_norm; server_effective_delta_norm; server_delta_a_norm; server_new_direction_fraction; a_drift_from_initial; a_subspace_from_initial,9622
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/milestones.csv,48,method; round; overall_acc; non_tail_acc; bottom20_tail_acc,1267
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/per_class_comparison.csv,100,class_id; tail; initial; c0_final; c0_gain; c0_last20; c0_vs_c0; c1_final; c1_gain; c1_last20; c1_vs_c0; c2_final; c2_gain; c2_last20; c2_vs_c0; c3_final; c3_gain; c3_last20; c3_vs_c0; c3_vs_c2,11124
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/performance.csv,4,method; overall_acc_initial; overall_acc_final; overall_acc_gain; overall_acc_last20; overall_acc_last20_std; overall_acc_last10; overall_acc_peak; overall_acc_peak_round; overall_acc_peak_final_drop; non_tail_acc_initial; non_tail_acc_final; non_tail_acc_gain; non_tail_acc_last20; non_tail_acc_last20_std; non_tail_acc_last10; non_tail_acc_peak; non_tail_acc_peak_round; non_tail_acc_peak_final_drop; bottom20_tail_acc_initial; bottom20_tail_acc_final; bottom20_tail_acc_gain; bottom20_tail_acc_last20; bottom20_tail_acc_last20_std; bottom20_tail_acc_last10; bottom20_tail_acc_peak; bottom20_tail_acc_peak_round; bottom20_tail_acc_peak_final_drop,1720
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/analysis/refresh_events.csv,27,method; round; overall_acc_pre; overall_acc_middle; overall_acc_after; overall_acc_refresh_delta; overall_acc_following_B_interval_delta; non_tail_acc_pre; non_tail_acc_middle; non_tail_acc_after; non_tail_acc_refresh_delta; non_tail_acc_following_B_interval_delta; bottom20_tail_acc_pre; bottom20_tail_acc_middle; bottom20_tail_acc_after; bottom20_tail_acc_refresh_delta; bottom20_tail_acc_following_B_interval_delta,5053
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/a_refresh_budget.csv,3270,round; client_id; phase; optimizer_steps; scheduler_steps; sample_presentations; trainable_factor,88411
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/a_refresh_stage_metrics.csv,27,round; stage; overall_acc; non_tail_acc; bottom20_tail_acc,1163
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/a_refresh_stage_per_class.csv,2700,round; stage; class_id; accuracy,74825
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/a_refresh_summary.csv,9,round; variant; num_clients; nonzero_gap_clients; mean_client_mean_gap; max_client_mean_gap; weighted_mean_client_gap; gap_vs_delta_a_pearson; gap_vs_effective_delta_pearson; mean_client_delta_a_norm; mean_client_effective_delta_norm; nonzero_effective_update_clients; refresh_optimizer_steps; refresh_sample_presentations; refresh_wall_seconds_including_middle_probes; cumulative_probe_seconds; cumulative_probe_sample_presentations; before_a_sha256; before_b_sha256; after_a_sha256; after_b_sha256; delta_a_norm; delta_b_norm; effective_delta_norm; new_input_direction_norm; new_direction_fraction; a_drift_from_initial; mean_a_subspace_change; mean_a_subspace_from_initial,5844
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/lora_aggregation_summary.csv,100,epoch_index; communication_round; partition; aggregation; num_selected_clients; num_active_clients; weight_sum; effective_num_clients; max_weight; min_positive_weight; tail_class_count; covered_tail_class_count; uncovered_tail_classes; la_temperature; la_regularization; la_objective; la_target_kl; la_fedavg_kl,12190
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/lora_aggregation_weights.csv,3000,epoch_index; communication_round; partition; aggregation; client_id; client_num_samples; num_supported_tail_classes; aggregation_weight,182490
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c1/round_metrics.csv,101,epoch; method; partition; aggregation; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,10443
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/a_refresh_budget.csv,3270,round; client_id; phase; optimizer_steps; scheduler_steps; sample_presentations; trainable_factor,88411
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/a_refresh_stage_metrics.csv,27,round; stage; overall_acc; non_tail_acc; bottom20_tail_acc,1145
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/a_refresh_stage_per_class.csv,2700,round; stage; class_id; accuracy,75225
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/a_refresh_summary.csv,9,round; variant; num_clients; nonzero_gap_clients; mean_client_mean_gap; max_client_mean_gap; weighted_mean_client_gap; gap_vs_delta_a_pearson; gap_vs_effective_delta_pearson; mean_client_delta_a_norm; mean_client_effective_delta_norm; nonzero_effective_update_clients; refresh_optimizer_steps; refresh_sample_presentations; refresh_wall_seconds_including_middle_probes; cumulative_probe_seconds; cumulative_probe_sample_presentations; before_a_sha256; before_b_sha256; after_a_sha256; after_b_sha256; delta_a_norm; delta_b_norm; effective_delta_norm; new_input_direction_norm; new_direction_fraction; a_drift_from_initial; mean_a_subspace_change; mean_a_subspace_from_initial,6200
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/lora_aggregation_summary.csv,100,epoch_index; communication_round; partition; aggregation; num_selected_clients; num_active_clients; weight_sum; effective_num_clients; max_weight; min_positive_weight; tail_class_count; covered_tail_class_count; uncovered_tail_classes; la_temperature; la_regularization; la_objective; la_target_kl; la_fedavg_kl,12190
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/lora_aggregation_weights.csv,3000,epoch_index; communication_round; partition; aggregation; client_id; client_num_samples; num_supported_tail_classes; aggregation_weight,182490
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c2/round_metrics.csv,101,epoch; method; partition; aggregation; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,10398
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/a_refresh_budget.csv,3270,round; client_id; phase; optimizer_steps; scheduler_steps; sample_presentations; trainable_factor,88411
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/a_refresh_stage_metrics.csv,27,round; stage; overall_acc; non_tail_acc; bottom20_tail_acc,1163
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/a_refresh_stage_per_class.csv,2700,round; stage; class_id; accuracy,75195
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/a_refresh_summary.csv,9,round; variant; num_clients; nonzero_gap_clients; mean_client_mean_gap; max_client_mean_gap; weighted_mean_client_gap; gap_vs_delta_a_pearson; gap_vs_effective_delta_pearson; mean_client_delta_a_norm; mean_client_effective_delta_norm; nonzero_effective_update_clients; refresh_optimizer_steps; refresh_sample_presentations; refresh_wall_seconds_including_middle_probes; cumulative_probe_seconds; cumulative_probe_sample_presentations; before_a_sha256; before_b_sha256; after_a_sha256; after_b_sha256; delta_a_norm; delta_b_norm; effective_delta_norm; new_input_direction_norm; new_direction_fraction; a_drift_from_initial; mean_a_subspace_change; mean_a_subspace_from_initial,6190
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/lora_aggregation_summary.csv,100,epoch_index; communication_round; partition; aggregation; num_selected_clients; num_active_clients; weight_sum; effective_num_clients; max_weight; min_positive_weight; tail_class_count; covered_tail_class_count; uncovered_tail_classes; la_temperature; la_regularization; la_objective; la_target_kl; la_fedavg_kl,12190
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/lora_aggregation_weights.csv,3000,epoch_index; communication_round; partition; aggregation; client_id; client_num_samples; num_supported_tail_classes; aggregation_weight,182490
a_refresh_c1_c2_c3_analysis,output/a_refresh_c1_c2_c3_analysis/output/cifar100_LT/a_refresh_pilot/seed42/c3/round_metrics.csv,101,epoch; method; partition; aggregation; overall_acc; non_tail_acc; bottom20_tail_acc; macro_per_class_acc; head_acc; medium_acc; tail_acc; macro_f1; seed; tail_class_ratio,10473
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/attribution_validity.csv,1280,seed; topology; method; round; phase; class_id; before_F; path_after_F; actual_after_F; direct_change; attributed_change; absolute_completeness_error; completeness_tolerance; candidate_vs_trained_endpoint_error; valid; quadrature_nodes; quadrature_segments,274280
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/class_structure_relation.csv,80,seed; topology; method; class_id; n_c; N_c; N_eff_ownership; support_access; N_eff_access; refresh_acc_delta_mean; final_accuracy; last20_accuracy,8742
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/coupling_gap_by_round.csv,303,seed; round; metric; G_B; G_A; delta_G; CLT_C2_minus_C1; Dir_C2_minus_C1,32291
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/coupling_gap_endpoints.csv,9,seed; endpoint; metric; G_B; G_A; delta_G; CLT_C2_minus_C1; Dir_C2_minus_C1,1145
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/exploratory_correlations.csv,3,topology; relation; spearman; classes,253
a_refresh_topology_bridge_analysis,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/factorial_performance.csv,12,seed; topology; method; metric; initial; final; last20; last10; final_gain; last20_gain; peak; peak_round; best_to_last20_drop,1708
