分组,实验,编号,协议组,划分,seed,Overall81_100,Head20_81_100,Middle60_81_100,Tail20_81_100,Many81_100,Medium81_100,Few81_100,Tail峰值,峰值轮,Tail最后,最后记录轮,峰值到最后回落pp,说明,原始路径
3 LA与A训练方式,J,Rf8efb6108,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,71.196,78.56,72.38333333333334,60.27,76.7642857142857,72.59285714285714,63.07000000000001,71.7,22,59.55,100,12.150000000000006,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42
3 LA与A训练方式,S,R3b1af80e9,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,70.91,76.8375,69.68333333333334,68.6625,73.96714285714286,70.14714285714285,68.23333333333333,71.8,46,68.35,100,3.450000000000003,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42
3 LA与A训练方式,E5,R8cef9ce3a,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,69.5405,74.37,67.39416666666666,71.15,71.6,66.72,70.42833333333333,71.25,90,71.25,100,0.0,E5为旧路线备查,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42
3 LA与A训练方式,E2,R06c0384a2,P4 LA-control/rank4/FP32/matched-dirichlet,matched-dirichlet,42,68.251,71.655,66.47666666666666,70.17,69.90714285714286,65.7,69.295,70.45,95,70.4,100,0.04999999999999716,,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e2/tau1_a1_protocol42
3 LA与A训练方式,E3,R011ba6aba,P4 LA-control/rank4/FP32/matched-dirichlet,matched-dirichlet,42,69.664,74.4575,67.35166666666666,71.8075,71.50571428571428,66.91285714285713,70.725,71.9,85,71.7,100,0.20000000000000284,,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e3/tau1_a1_protocol42
3 LA与A训练方式,J,Rc4b80f302,P4 LA-control/rank4/FP32/matched-dirichlet,matched-dirichlet,42,72.467,77.35,70.66083333333333,73.0025,75.15,71.19,70.82666666666667,73.2,98,72.8,100,0.4000000000000057,,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/j/tau1_a1_protocol42
3 LA与A训练方式,S,R25f817d5a,P4 LA-control/rank4/FP32/matched-dirichlet,matched-dirichlet,42,70.9435,75.5325,69.03833333333333,72.07000000000001,72.97142857142856,69.48428571428572,70.28,72.75,58,72.1,100,0.6500000000000057,,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/s/tau1_a1_protocol42
3 LA与A训练方式,E5,Rd49fb5b51,P4 LA-control/rank4/FP32/matched-dirichlet,matched-dirichlet,42,69.5845,74.25750000000001,67.29666666666667,71.775,71.37142857142858,66.84857142857143,70.69166666666666,71.85,89,71.85,100,0.0,E5为旧路线备查,output/la_control_js_topology_analysis/la_control/seed42/matched-dirichlet/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42
3 LA与A训练方式,普通Dir E0,R72f6ab547,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,67.6695,76.97,64.47749999999999,67.94500000000001,72.89428571428572,64.18285714285715,65.64166666666668,68.1,82,67.75,100,0.3499999999999943,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e0/tau0_a1_protocol42_beta0.5
3 LA与A训练方式,普通Dir E1,Rdbad269b1,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,66.438,83.485,62.589166666666664,60.9375,77.41714285714286,62.43571428571429,58.29833333333333,68.6,31,59.5,100,9.099999999999994,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e1/tau0_a1_protocol42_beta0.5
