run_id,round,overall,tail,nontail,head,middle,many,medium,few
Rc521cdbcf,31,67.58,68.5,67.35,76.4,64.33333333333333,72.25714285714285,64.08571428571429,66.2
Rc521cdbcf,32,67.59,68.35,67.4,76.6,64.33333333333333,72.4,64.05714285714286,66.1
Rc521cdbcf,33,67.64,68.4,67.45,76.8,64.33333333333333,72.57142857142857,64.0,66.13333333333334
Rc521cdbcf,34,67.67,68.3,67.5125,76.9,64.38333333333334,72.68571428571428,64.05714285714286,66.03333333333333
Rc521cdbcf,35,67.72,68.3,67.575,77.0,64.43333333333334,72.8,64.08571428571429,66.03333333333333
Rc521cdbcf,36,67.73,68.35,67.575,77.1,64.4,72.91428571428571,64.02857142857142,66.0
Rc521cdbcf,37,67.73,68.2,67.6125,77.25,64.4,73.05714285714286,64.02857142857142,65.83333333333333
Rc521cdbcf,38,67.73,68.1,67.6375,77.35,64.4,73.11428571428571,64.02857142857142,65.76666666666667
Rc521cdbcf,39,67.68,68.05,67.5875,77.45,64.3,73.11428571428571,63.97142857142857,65.66666666666667
Rc521cdbcf,40,67.81,67.85,67.8,78.45,64.25,73.82857142857142,63.74285714285714,65.53333333333333
Rc521cdbcf,41,67.78,67.65,67.8125,78.65,64.2,74.0,63.68571428571428,65.3
Rc521cdbcf,42,67.78,67.6,67.825,78.75,64.18333333333334,74.11428571428571,63.628571428571426,65.23333333333333
Rc521cdbcf,43,67.85,67.55,67.925,78.95,64.25,74.34285714285714,63.628571428571426,65.2
Rc521cdbcf,44,67.83,67.4,67.9375,79.05,64.23333333333333,74.42857142857143,63.6,65.06666666666666
Rc521cdbcf,45,67.88,67.25,68.0375,79.25,64.3,74.57142857142857,63.68571428571428,64.96666666666667
Rc521cdbcf,46,67.82,67.1,68.0,79.35,64.21666666666667,74.54285714285714,63.628571428571426,64.86666666666666
Rc521cdbcf,47,67.86,67.1,68.05,79.6,64.2,74.68571428571428,63.628571428571426,64.83333333333333
Rc521cdbcf,48,67.85,66.9,68.0875,79.75,64.2,74.82857142857142,63.6,64.66666666666667
Rc521cdbcf,49,67.86,66.8,68.125,79.85,64.21666666666667,74.94285714285714,63.57142857142857,64.6
Rc521cdbcf,50,67.76,66.25,68.1375,81.35,63.733333333333334,75.71428571428571,63.22857142857143,63.766666666666666
Rc521cdbcf,51,67.77,66.25,68.15,81.4,63.733333333333334,75.77142857142857,63.285714285714285,63.666666666666664
Rc521cdbcf,52,67.71,66.05,68.125,81.35,63.71666666666667,75.77142857142857,63.25714285714286,63.5
Rc521cdbcf,53,67.74,66.05,68.1625,81.4,63.75,75.8,63.4,63.4
