round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
20,tail20,73,65,8,20,20,token_equal,0.8904109589041096,0.9846153846153847,0.9078992191626991,0.8738461538461539
20,tail20,73,65,8,20,20,class_equal,0.9075,0.9833333333333332,0.8978343372938149,0.8783333333333333
20,non_tail80,1443,1391,52,80,80,token_equal,0.963963963963964,0.8741912293314162,0.2848456629674176,0.35461298825784804
20,non_tail80,1443,1391,52,80,80,class_equal,0.9610795546304699,0.8760778718470661,0.33138978866272606,0.39875
21,all,1516,1471,45,100,100,token_equal,0.9703166226912929,0.8837525492861998,0.3259765513257319,0.3792884658962158
21,all,1516,1471,45,100,100,class_equal,0.9648372995914961,0.8981013898303877,0.45431878870458015,0.4946666666666666
21,tail20,73,68,5,20,20,token_equal,0.9315068493150684,0.9705882352941176,0.901430656088671,0.8730392156862745
21,tail20,73,68,5,20,20,class_equal,0.9425000000000001,0.9666666666666666,0.8979574998432529,0.8783333333333333
21,non_tail80,1443,1403,40,80,80,token_equal,0.9722799722799723,0.879543834640057,0.2980856895125602,0.35535756711808025
21,non_tail80,1443,1403,40,80,80,class_equal,0.9704216244893701,0.8809600706213179,0.34340911091991194,0.39875
22,all,1516,1491,25,100,100,token_equal,0.9835092348284961,0.8913480885311871,0.3172506947259864,0.3795215738877711
22,all,1516,1491,25,100,100,class_equal,0.9768413526744862,0.9122282476616875,0.4467830883291208,0.4946666666666666
22,tail20,73,68,5,20,20,token_equal,0.9315068493150684,1.0,0.907314470848693,0.8730392156862745
22,tail20,73,68,5,20,20,class_equal,0.9425000000000001,1.0,0.9076232722082365,0.8783333333333333
22,non_tail80,1443,1423,20,80,80,token_equal,0.9861399861399861,0.8861560084328882,0.2890536906667144,0.35593815881939567
22,non_tail80,1443,1423,20,80,80,class_equal,0.9854266908431079,0.8902853095771095,0.3315730423593419,0.39874999999999994
23,all,1516,1487,29,100,100,token_equal,0.9808707124010554,0.8897108271687962,0.31073893050675666,0.3796009863259359
23,all,1516,1487,29,100,100,class_equal,0.9767504535215165,0.91382633656931,0.44565718499681867,0.4946666666666666
23,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.9198340780761342,0.8723809523809525
23,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.9178482189326382,0.8783333333333333
23,non_tail80,1443,1417,26,80,80,token_equal,0.9819819819819819,0.8842625264643613,0.2806495442471544,0.35525758645024696
23,non_tail80,1443,1417,26,80,80,class_equal,0.9796880669018954,0.8922829207116376,0.32760942651286384,0.39875
24,all,1516,1496,20,100,100,token_equal,0.9868073878627969,0.8957219251336899,0.31429405235832775,0.3799242424242425
24,all,1516,1496,20,100,100,class_equal,0.9833223113293582,0.9162223298780607,0.4458494973734487,0.4946666666666666
24,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.910345519361695,0.872857142857143
24,tail20,73,70,3,20,20,class_equal,0.9675,1.0,0.9101895472659841,0.8783333333333333
24,non_tail80,1443,1426,17,80,80,token_equal,0.9882189882189882,0.8906030855539971,0.2850348639360026,0.35572697522206637
24,non_tail80,1443,1426,17,80,80,class_equal,0.9872778891616975,0.8952779123475759,0.32976448490031496,0.39874999999999994
25,all,1516,1495,21,100,100,token_equal,0.9861477572559367,0.905685618729097,0.319234159958988,0.3794871794871795
25,all,1516,1495,21,100,100,class_equal,0.9816485634375794,0.9259629637001996,0.4488285287689369,0.4946666666666666
25,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8972859867977889,0.872857142857143
25,tail20,73,70,3,20,20,class_equal,0.9675,1.0,0.8979718622244602,0.8783333333333333
25,non_tail80,1443,1425,18,80,80,token_equal,0.9875259875259875,0.9010526315789473,0.29083863162304685,0.35525146198830404
25,non_tail80,1443,1425,18,80,80,class_equal,0.9851857042969744,0.9074537046252494,0.33654269540505605,0.39875
26,all,1516,1506,10,100,100,token_equal,0.9934036939313984,0.9296148738379814,0.31454497398369735,0.3797476759628154
26,all,1516,1506,10,100,100,class_equal,0.9897556935817806,0.9460724459374749,0.4421584257608828,0.4946666666666666
26,tail20,73,71,2,20,20,token_equal,0.9726027397260274,0.9859154929577465,0.8811300217873997,0.8723004694835681
26,tail20,73,71,2,20,20,class_equal,0.9775,0.99,0.8866953155350826,0.8783333333333333
26,non_tail80,1443,1435,8,80,80,token_equal,0.9944559944559944,0.926829268292683,0.28651184618295666,0.3553774680603949
26,non_tail80,1443,1435,8,80,80,class_equal,0.9928196169772256,0.9350905574218438,0.3310242033173329,0.39874999999999994
27,all,1516,1506,10,100,100,token_equal,0.9934036939313984,0.9243027888446215,0.3135523860880886,0.3796812749003984
27,all,1516,1506,10,100,100,class_equal,0.9885414862914863,0.9408080094772988,0.44344961888196827,0.4946666666666666
27,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8975419336355751,0.8723809523809524
27,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.8975559857351515,0.8783333333333333
27,non_tail80,1443,1436,7,80,80,token_equal,0.9951489951489951,0.9206128133704735,0.2850849290349382,0.35566388115134634
27,non_tail80,1443,1436,7,80,80,class_equal,0.9944268578643578,0.9260100118466236,0.32992302716867244,0.39874999999999994
28,all,1516,1508,8,100,100,token_equal,0.9947229551451188,0.9436339522546419,0.3146697760061742,0.38026083112290004
28,all,1516,1508,8,100,100,class_equal,0.9920349333478623,0.9578789546140334,0.4425150801625674,0.4946666666666666
28,tail20,73,71,2,20,20,token_equal,0.9726027397260274,1.0,0.8835138190555962,0.8723004694835681
28,tail20,73,71,2,20,20,class_equal,0.9775,1.0,0.8889755695803302,0.8783333333333333
28,non_tail80,1443,1437,6,80,80,token_equal,0.9958419958419958,0.940848990953375,0.2865640508450685,0.3559498956158664
28,non_tail80,1443,1437,6,80,80,class_equal,0.9956686666848281,0.9473486932675417,0.3308999578081267,0.39874999999999994
29,all,1516,1508,8,100,100,token_equal,0.9947229551451188,0.9290450928381963,0.3097924127802972,0.3799292661361627
29,all,1516,1508,8,100,100,class_equal,0.990061249137336,0.9451033575842703,0.4396792188851659,0.4946666666666666
29,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8887002221698156,0.8723809523809524
29,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.8907792389133666,0.8783333333333333
