method,partition,class_id,last20_accuracy
E3,client-longtail,72,56.80000000
E3,client-longtail,73,72.65000000
E3,client-longtail,74,51.00000000
E3,client-longtail,75,72.60000000
E3,client-longtail,76,80.00000000
E3,client-longtail,77,76.50000000
E3,client-longtail,78,59.15000000
E3,client-longtail,79,68.15000000
E3,client-longtail,80,48.95000000
E3,client-longtail,81,50.90000000
E3,client-longtail,82,91.00000000
E3,client-longtail,83,76.00000000
E3,client-longtail,84,72.00000000
E3,client-longtail,85,83.20000000
E3,client-longtail,86,69.70000000
E3,client-longtail,87,81.90000000
E3,client-longtail,88,56.95000000
E3,client-longtail,89,87.65000000
E3,client-longtail,90,81.00000000
E3,client-longtail,91,62.40000000
E3,client-longtail,92,76.40000000
E3,client-longtail,93,47.00000000
E3,client-longtail,94,83.00000000
E3,client-longtail,95,63.45000000
E3,client-longtail,96,76.95000000
E3,client-longtail,97,60.90000000
E3,client-longtail,98,71.00000000
E3,client-longtail,99,84.75000000
E5,client-longtail,0,86.00000000
E5,client-longtail,1,76.00000000
E5,client-longtail,2,81.90000000
E5,client-longtail,3,68.00000000
E5,client-longtail,4,46.00000000
E5,client-longtail,5,71.00000000
E5,client-longtail,6,80.00000000
E5,client-longtail,7,61.25000000
E5,client-longtail,8,85.45000000
E5,client-longtail,9,90.00000000
E5,client-longtail,10,47.80000000
E5,client-longtail,11,72.00000000
E5,client-longtail,12,85.65000000
E5,client-longtail,13,77.00000000
E5,client-longtail,14,74.00000000
E5,client-longtail,15,86.00000000
E5,client-longtail,16,84.30000000
E5,client-longtail,17,84.00000000
E5,client-longtail,18,52.05000000
E5,client-longtail,19,79.00000000
E5,client-longtail,20,91.95000000
E5,client-longtail,21,84.30000000
E5,client-longtail,22,83.00000000
E5,client-longtail,23,78.00000000
E5,client-longtail,24,72.00000000
E5,client-longtail,25,62.00000000
E5,client-longtail,26,62.00000000
E5,client-longtail,27,47.85000000
E5,client-longtail,28,56.80000000
E5,client-longtail,29,70.40000000
E5,client-longtail,30,52.00000000
E5,client-longtail,31,80.75000000
E5,client-longtail,32,40.30000000
E5,client-longtail,33,57.25000000
E5,client-longtail,34,80.00000000
E5,client-longtail,35,63.40000000
E5,client-longtail,36,70.00000000
E5,client-longtail,37,91.00000000
E5,client-longtail,38,68.00000000
E5,client-longtail,39,83.85000000
E5,client-longtail,40,72.70000000
E5,client-longtail,41,88.00000000
E5,client-longtail,42,17.70000000
E5,client-longtail,43,82.95000000
E5,client-longtail,44,64.55000000
E5,client-longtail,45,37.20000000
E5,client-longtail,46,67.75000000
E5,client-longtail,47,44.75000000
E5,client-longtail,48,92.00000000
E5,client-longtail,49,90.75000000
E5,client-longtail,50,18.05000000
E5,client-longtail,51,72.00000000
E5,client-longtail,52,49.30000000
E5,client-longtail,53,96.55000000
E5,client-longtail,54,82.00000000
E5,client-longtail,55,29.95000000
E5,client-longtail,56,88.00000000
E5,client-longtail,57,74.00000000
E5,client-longtail,58,92.95000000
E5,client-longtail,59,77.00000000
E5,client-longtail,60,71.60000000
E5,client-longtail,61,68.10000000
E5,client-longtail,62,70.50000000
